"Maximum Health",Name,Description,Strength,Dexterity,Wisdom,Weapon,"Dungeon Type",Tags
25,Ninja,"attacks shadows and using tricks",2,6,6,ShortSword,BasicDungeon,
30,"Crab Wizard","A normal wizard that was turned into a crab by an Evil Wizard.",3,1,5,WizardsStaff,MagicalDungeon,
1,"Magikarp  ","how Magikarp evolves is a mystery beyond all science",0,0,0,Fists,BasicDungeon,
450,Ju-On,"She died with a deep and powerful rage, then the curse is born.",3,2,5,Fists,MagicalDungeon,
30,Apophis,"The Serpent from the Nile and the opponent of Light",4,2,6,WizardsStaff,MagicalDungeon,
50,Trunks,"The time-space shuttle machine has failed, and it has to be forced to land here.",3,3,1,Fists,BasicDungeon,
3,"Fist Man","He will punch you!",6,6,0,Fists,BasicDungeon,
47,Gary,"Brave killer",5,5,5,BattleAxe,MagicalDungeon,
25,"Harry Potter",Expelliarmus!,4,5,5,MagicWand,MagicalDungeon,
500,Limuru(slime),"A slime that was a human but died once, he get a second life as a slime. The god gave him unique skills includes easier to get skills, can absorb creatures : get their skills and can transform into their appearance. He have a lots of skills, including magic, resistance to all elements and fighting skills.",2,6,6,MagicWand,All,
10,"Sword Dude ","a ordinary dude with a single-hand sword(obviously), nothing special",5,3,1,ShortSword,BasicDungeon,
20,Creeper,"Aw Man",4,2,1,Fists,All,
50,Thanos,"Demonstrating enormous superhuman strength, speed, stamina, immortality and invulnerability among other qualities, Thanos can absorb and project vast quantities of cosmic energy, and is capable of telekinesis and telepathy.",6,4,2,WizardsStaff,All,
60,"Ben Stokes","An absolute gun all-rounder. Will knock you to the ground or hit you for six.",6,5,2,Fists,BasicDungeon,
